标题： 大爆炸1-11季。中英字。⬇️取 	 链接：http://tieba.baidu.com//p/5702887048 	 发帖人：你的小掰呀  	 发帖时间：5-17 	 回复数量： 641 
标题： 生活中的莱纳德到底是什么性格呀？看到一个生活大爆炸的收官视频 	 链接：http://tieba.baidu.com//p/5709084642 	 发帖人：隐匿113  	 发帖时间：11:24 	 回复数量： 0 
标题： 小阔爱们zhao坚直坚直坚直啦。 	 链接：http://tieba.baidu.com//p/5709015511 	 发帖人：我是大暖...  	 发帖时间：10:36 	 回复数量： 5 
标题： 谢尔顿和佩妮才是绝配！ 	 链接：http://tieba.baidu.com//p/5700032677 	 发帖人：琥珀白  	 发帖时间：5-15 	 回复数量： 14 
标题： 【TBBT】《生活大爆炸》第十一季熟肉 	 链接：http://tieba.baidu.com//p/5545877734 	 发帖人：玺子   	 发帖时间：2-9 	 回复数量： 194 
标题： 为什么raj找不到女朋友呢？ 	 链接：http://tieba.baidu.com//p/5703567739 	 发帖人：yyy11235813  	 发帖时间：5-17 	 回复数量： 8 
标题： 佩妮对谢尔顿真好，完美的控制住了婚礼现场 	 链接：http://tieba.baidu.com//p/5695574764 	 发帖人：小河边上...  	 发帖时间：5-12 	 回复数量： 6 
标题： 看了这么多季，我非常确信，主角团里最讨厌谢尔顿的绝对就是霍华 	 链接：http://tieba.baidu.com//p/5706138068 	 发帖人：啊啊啊啊...  	 发帖时间：5-19 	 回复数量： 6 
标题： 大家都没有看到小谢耳朵后面的大爆炸特别集预告吗？？ 	 链接：http://tieba.baidu.com//p/5699485153 	 发帖人：习惯的45...  	 发帖时间：5-15 	 回复数量： 2 
标题： 《生活大爆炸》在某种程度上给了我一种感，而这其中关于美漫和游 	 链接：http://tieba.baidu.com//p/5696345817 	 发帖人：张潇从  	 发帖时间：5-12 	 回复数量： 1 
标题： 昨天才抽时间看了最后一集 	 链接：http://tieba.baidu.com//p/5703180491 	 发帖人：阿懂story  	 发帖时间：5-17 	 回复数量： 16 
标题： 莱纳德演 午夜凶铃去了 	 链接：http://tieba.baidu.com//p/5090389171 	 发帖人：见法⊙螺...  	 发帖时间：2017-04 	 回复数量： 4 
标题： 非黑贴，谢耳朵和amy 亲嘴，耳朵本人是什么感觉？ 	 链接：http://tieba.baidu.com//p/5136484500 	 发帖人：Fung   	 发帖时间：2017-05 	 回复数量： 6 
标题： 难道只有我一个刚刚知道谢耳朵是gay吗？ 	 链接：http://tieba.baidu.com//p/5162459164 	 发帖人：云菲天2016  	 发帖时间：2017-06 	 回复数量： 7 
标题： 震惊！youtube上竟然有真正的fun with flags 	 链接：http://tieba.baidu.com//p/5114581863 	 发帖人：超级小小...  	 发帖时间：2017-05 	 回复数量： 30 
标题： 你们注意到，谢耳朵公寓有个备用白板了嘛？你们注意到，谢耳朵的 	 链接：http://tieba.baidu.com//p/5706159320 	 发帖人：外语外贸...  	 发帖时间：5-19 	 回复数量： 14 
标题： 拉杰之前认识的克莱尔妹纸在另一部剧里，客串过 	 链接：http://tieba.baidu.com//p/5139841492 	 发帖人：耳朵Moonpie   	 发帖时间：2017-05 	 回复数量： 45 
标题： 哎呦喂 Shamy的婚礼甜死了！！！真是影帝影后水准啊看的我 	 链接：http://tieba.baidu.com//p/5694827210 	 发帖人：AlexT1111   	 发帖时间：5-11 	 回复数量： 12 
标题： 结婚超激动！！！ 	 链接：http://tieba.baidu.com//p/5700977622 	 发帖人：chao黎奶奶  	 发帖时间：5-15 	 回复数量： 3 
标题： 520：Sheldon表白Amy，这个等了很久，大家怎么看？ 	 链接：http://tieba.baidu.com//p/5708340870 	 发帖人：玩转美剧...  	 发帖时间：5-20 	 回复数量： 0 
标题： 看了young sheldon第一集有感（慎剧透） 	 链接：http://tieba.baidu.com//p/5344100830 	 发帖人：Fung   	 发帖时间：2017-09 	 回复数量： 15 
